Sample_ID,Fish_type,Fish_sex,Area_Tail,Area_Anal,Area_LB,Area_UB,Area_Pelvic,Area_Pectoral,Area_Dorsal,Area_Head
1,Ornamental,Female,39.636,7.55,23.202,48.262,3.686,7.875,4.591,16.884
2,Ornamental,Female,33.389,5.409,23.714,51.65,1.39,10.017,3.149,17.274
3,Ornamental,Female,29.896,8.245,21.292,45.536,3.388,12.752,6.861,25.01
4,Ornamental,Female,28.835,6.762,25.742,50.492,2.513,7.784,5.416,19.541
5,Ornamental,Female,29.517,6.364,17.989,31.694,2.099,8.682,5.072,15.431
6,Ornamental,Male,92.506,7.341,18.543,32.764,1.255,5.982,4.591,13.97
7,Ornamental,Male,25.279,2.142,19.541,20.917,1.648,8.053,2.911,16.945
8,Ornamental,Male,29.514,3.327,19.155,25.823,0.805,4.886,5.78,13.446
9,Ornamental,Male,42.931,3.09,14.294,30.195,1.405,7.081,3.433,19.3
10,LA,Female,36.55,3.084,18.608,38.206,3.439,5.961,1.701,16.321
11,LA,Female,23.381,6.369,18.277,40.634,3.341,10.302,4.532,17.196
12,LA,Female,55.143,4.266,20.102,45.791,1.283,6.27,12.987,15.971
13,LA,Female,40.896,4.549,21.256,43.49,2.476,12.745,6.116,21.789
14,LA,Male,25.375,2.537,17.038,26.625,0.643,2.819,4.998,9.892
15,LA,Male,19.191,8.054,21.652,23.354,1.041,5.265,7.117,14.813
16,LA,Male,17.903,6.714,15.336,22.173,1.29,5.347,3.906,11.805
17,LA,Male,28.346,4.519,16.539,25.144,1.056,4.82,3.807,12.919
18,LA,Male,8.286,2.461,15.097,23.44,0.988,4.857,4.66,14.197
