Tail,Anal,LB,UB,Pelvic,Pectoral,Dorsal,Head,Fish_ID,Day,Standard_length,Parasite_strain,Fish_strain,Sex_fish
1,0,0,0,0,0,0,0,1,1,20,Gt,OS,Male
1,0,0,0,0,1,0,1,1,3,20,Gt,OS,Male
7,0,0,0,0,1,0,1,1,5,20,Gt,OS,Male
5,0,1,0,4,0,1,0,1,7,20,Gt,OS,Male
23,0,2,0,0,1,1,4,1,9,20,Gt,OS,Male
5,0,5,2,10,0,0,0,1,11,20,Gt,OS,Male
8,3,5,0,4,2,7,0,1,13,20,Gt,OS,Male
NA,NA,NA,NA,NA,NA,NA,NA,1,15,20,Gt,OS,Male
NA,NA,NA,NA,NA,NA,NA,NA,1,17,20,Gt,OS,Male
0,0,1,0,0,0,0,0,3,1,16,Gb,UA,Male
NA,NA,NA,NA,NA,NA,NA,NA,3,3,16,Gb,UA,Male
NA,NA,NA,NA,NA,NA,NA,NA,3,5,16,Gb,UA,Male
NA,NA,NA,NA,NA,NA,NA,NA,3,7,16,Gb,UA,Male
NA,NA,NA,NA,NA,NA,NA,NA,3,9,16,Gb,UA,Male
NA,NA,NA,NA,NA,NA,NA,NA,3,11,16,Gb,UA,Male
NA,NA,NA,NA,NA,NA,NA,NA,3,13,16,Gb,UA,Male
NA,NA,NA,NA,NA,NA,NA,NA,3,15,16,Gb,UA,Male
NA,NA,NA,NA,NA,NA,NA,NA,3,17,16,Gb,UA,Male
1,0,0,0,0,1,0,1,5,1,14.5,Gb,LA,Male
1,0,1,0,0,0,0,6,5,3,14.5,Gb,LA,Male
5,0,2,0,0,0,0,1,5,5,14.5,Gb,LA,Male
2,0,8,0,2,0,1,17,5,7,14.5,Gb,LA,Male
5,2,8,2,0,0,0,32,5,9,14.5,Gb,LA,Male
0,0,11,2,0,1,0,78,5,11,14.5,Gb,LA,Male
NA,NA,NA,NA,NA,NA,NA,NA,5,13,14.5,Gb,LA,Male
NA,NA,NA,NA,NA,NA,NA,NA,5,15,14.5,Gb,LA,Male
NA,NA,NA,NA,NA,NA,NA,NA,5,17,14.5,Gb,LA,Male
0,0,0,0,0,2,0,1,6,1,16,Gb,LA,Female
0,0,0,0,1,1,0,2,6,3,16,Gb,LA,Female
1,0,0,0,2,0,0,4,6,5,16,Gb,LA,Female
0,0,1,4,1,0,0,10,6,7,16,Gb,LA,Female
NA,NA,NA,NA,NA,NA,NA,NA,6,9,16,Gb,LA,Female
NA,NA,NA,NA,NA,NA,NA,NA,6,11,16,Gb,LA,Female
NA,NA,NA,NA,NA,NA,NA,NA,6,13,16,Gb,LA,Female
NA,NA,NA,NA,NA,NA,NA,NA,6,15,16,Gb,LA,Female
NA,NA,NA,NA,NA,NA,NA,NA,6,17,16,Gb,LA,Female
0,0,0,0,0,1,0,2,7,1,17,Gb,OS,Male
0,2,0,0,0,0,0,8,7,3,17,Gb,OS,Male
3,0,7,2,0,0,0,9,7,5,17,Gb,OS,Male
14,1,13,0,0,0,2,32,7,7,17,Gb,OS,Male
2,2,27,6,0,0,0,90,7,9,17,Gb,OS,Male
13,0,63,9,0,2,1,116,7,11,17,Gb,OS,Male
NA,NA,NA,NA,NA,NA,NA,NA,7,13,17,Gb,OS,Male
NA,NA,NA,NA,NA,NA,NA,NA,7,15,17,Gb,OS,Male
NA,NA,NA,NA,NA,NA,NA,NA,7,17,17,Gb,OS,Male
1,0,0,1,0,0,0,1,8,1,14,Gb,OS,Female
2,1,1,0,0,0,0,1,8,3,14,Gb,OS,Female
6,0,1,0,0,0,0,6,8,5,14,Gb,OS,Female
0,0,0,0,0,0,0,6,8,7,14,Gb,OS,Female
